customer_name,customer_email,customer_address,customer_phone
Juan Perez,juan.perez@mail.com,Calle 123 #45-67 Bogota,3001234567
Juan Perez,juan.perez@mail.com,Calle 123 #45-67 Bogota,3001234567
Juan Perez,juan.perez@mail.com,Calle 123 #45-67 Bogota,3001234567
Maria Rodriguez,maria.rod@gmail.com,Cra 80 #10-20 Medellin,3109876543
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Ana Torres,ana.torres@outlook.com,Diag 50 #20-10 Barranquilla,3004445566
Ana Torres,ana.torres@outlook.com,Diag 50 #20-10 Barranquilla,3004445566
Pedro Martinez,pedro.martinez@yahoo.com,Calle 100 #15-20 Bogota,3151112233
Pedro Martinez,pedro.martinez@yahoo.com,Calle 100 #15-20 Bogota,3151112233
Luisa Fernandez,luisa.fer@gmail.com,Tv 4 #5-12 Bucaramanga,3169998877
Luisa Fernandez,luisa.fer@gmail.com,Tv 4 #5-12 Bucaramanga,3169998877
Luisa Fernandez,luisa.fer@gmail.com,Tv 4 #5-12 Bucaramanga,3169998877
Jorge Ramirez,jorge.r@empresa.com,Cra 7 #72-10 Bogota,3112223344
Jorge Ramirez,jorge.r@empresa.com,Cra 7 #72-10 Bogota,3112223344
Sofia Vergara,sofia.v@cine.com,Calle 10 #10-10 Cartagena,3007776655
Juan Perez,juan.perez@mail.com,Calle 123 #45-67 Bogota,3001234567
Miguel Angel,miguel.angel@art.com,Av El Poblado 45 Medellin,3123334455
Miguel Angel,miguel.angel@art.com,Av El Poblado 45 Medellin,3123334455
Elena Nito,elena.nito@broma.com,Calle Falsa 123 Pereira,3185550000
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Ana Torres,ana.torres@outlook.com,Diag 50 #20-10 Barranquilla,3004445566
Ana Torres,ana.torres@outlook.com,Diag 50 #20-10 Barranquilla,3004445566
Maria Rodriguez,maria.rod@gmail.com,Cra 80 #10-20 Medellin,3109876543
Maria Rodriguez,maria.rod@gmail.com,Cra 80 #10-20 Medellin,3109876543
Maria Rodriguez,maria.rod@gmail.com,Cra 80 #10-20 Medellin,3109876543
Pedro Martinez,pedro.martinez@yahoo.com,Calle 100 #15-20 Bogota,3151112233
Laura Pausini,laura.p@musica.com,Via Roma 1 Italia (Bogota),3001112222
Juan Perez,juan.perez@mail.com,Calle 123 #45-67 Bogota,3001234567
Andres Cepeda,andres.c@musica.com,Calle 85 #11-20 Bogota,3105558888
Luisa Fernandez,luisa.fer@gmail.com,Tv 4 #5-12 Bucaramanga,3169998877
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Camila Cabello,camila.c@havana.com,Calle 50 #50-50 Miami (Medellin),3009990000
Jorge Ramirez,jorge.r@empresa.com,Cra 7 #72-10 Bogota,3112223344
Sofia Vergara,sofia.v@cine.com,Calle 10 #10-10 Cartagena,3007776655
Miguel Angel,miguel.angel@art.com,Av El Poblado 45 Medellin,3123334455
Elena Nito,elena.nito@broma.com,Calle Falsa 123 Pereira,3185550000
Elena Nito,elena.nito@broma.com,Calle Falsa 123 Pereira,3185550000
Juan Perez,juan.perez@mail.com,Calle 123 #45-67 Bogota,3001234567
Maria Rodriguez,maria.rod@gmail.com,Cra 80 #10-20 Medellin,3109876543
Pedro Martinez,pedro.martinez@yahoo.com,Calle 100 #15-20 Bogota,3151112233
Luisa Fernandez,luisa.fer@gmail.com,Tv 4 #5-12 Bucaramanga,3169998877
Ana Torres,ana.torres@outlook.com,Diag 50 #20-10 Barranquilla,3004445566
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Jorge Ramirez,jorge.r@empresa.com,Cra 7 #72-10 Bogota,3112223344
Sofia Vergara,sofia.v@cine.com,Calle 10 #10-10 Cartagena,3007776655
Sofia Vergara,sofia.v@cine.com,Calle 10 #10-10 Cartagena,3007776655
Miguel Angel,miguel.angel@art.com,Av El Poblado 45 Medellin,3123334455
Elena Nito,elena.nito@broma.com,Calle Falsa 123 Pereira,3185550000
Juan Perez,juan.perez@mail.com,Calle 123 #45-67 Bogota,3001234567
Maria Rodriguez,maria.rod@gmail.com,Cra 80 #10-20 Medellin,3109876543
Pedro Martinez,pedro.martinez@yahoo.com,Calle 100 #15-20 Bogota,3151112233
Luisa Fernandez,luisa.fer@gmail.com,Tv 4 #5-12 Bucaramanga,3169998877
Luisa Fernandez,luisa.fer@gmail.com,Tv 4 #5-12 Bucaramanga,3169998877
Ana Torres,ana.torres@outlook.com,Diag 50 #20-10 Barranquilla,3004445566
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Jorge Ramirez,jorge.r@empresa.com,Cra 7 #72-10 Bogota,3112223344
Sofia Vergara,sofia.v@cine.com,Calle 10 #10-10 Cartagena,3007776655
Sofia Vergara,sofia.v@cine.com,Calle 10 #10-10 Cartagena,3007776655
Miguel Angel,miguel.angel@art.com,Av El Poblado 45 Medellin,3123334455
Elena Nito,elena.nito@broma.com,Calle Falsa 123 Pereira,3185550000
Juan Perez,juan.perez@mail.com,Calle 123 #45-67 Bogota,3001234567
Maria Rodriguez,maria.rod@gmail.com,Cra 80 #10-20 Medellin,3109876543
Pedro Martinez,pedro.martinez@yahoo.com,Calle 100 #15-20 Bogota,3151112233
Luisa Fernandez,luisa.fer@gmail.com,Tv 4 #5-12 Bucaramanga,3169998877
Ana Torres,ana.torres@outlook.com,Diag 50 #20-10 Barranquilla,3004445566
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Jorge Ramirez,jorge.r@empresa.com,Cra 7 #72-10 Bogota,3112223344
Sofia Vergara,sofia.v@cine.com,Calle 10 #10-10 Cartagena,3007776655
Miguel Angel,miguel.angel@art.com,Av El Poblado 45 Medellin,3123334455
Elena Nito,elena.nito@broma.com,Calle Falsa 123 Pereira,3185550000
Juan Perez,juan.perez@mail.com,Calle 123 #45-67 Bogota,3001234567
Maria Rodriguez,maria.rod@gmail.com,Cra 80 #10-20 Medellin,3109876543
Maria Rodriguez,maria.rod@gmail.com,Cra 80 #10-20 Medellin,3109876543
Pedro Martinez,pedro.martinez@yahoo.com,Calle 100 #15-20 Bogota,3151112233
Luisa Fernandez,luisa.fer@gmail.com,Tv 4 #5-12 Bucaramanga,3169998877
Ana Torres,ana.torres@outlook.com,Diag 50 #20-10 Barranquilla,3004445566
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Jorge Ramirez,jorge.r@empresa.com,Cra 7 #72-10 Bogota,3112223344
Sofia Vergara,sofia.v@cine.com,Calle 10 #10-10 Cartagena,3007776655
Miguel Angel,miguel.angel@art.com,Av El Poblado 45 Medellin,3123334455
Miguel Angel,miguel.angel@art.com,Av El Poblado 45 Medellin,3123334455
Elena Nito,elena.nito@broma.com,Calle Falsa 123 Pereira,3185550000
Juan Perez,juan.perez@mail.com,Calle 123 #45-67 Bogota,3001234567
Maria Rodriguez,maria.rod@gmail.com,Cra 80 #10-20 Medellin,3109876543
Pedro Martinez,pedro.martinez@yahoo.com,Calle 100 #15-20 Bogota,3151112233
Luisa Fernandez,luisa.fer@gmail.com,Tv 4 #5-12 Bucaramanga,3169998877
Ana Torres,ana.torres@outlook.com,Diag 50 #20-10 Barranquilla,3004445566
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Jorge Ramirez,jorge.r@empresa.com,Cra 7 #72-10 Bogota,3112223344
Sofia Vergara,sofia.v@cine.com,Calle 10 #10-10 Cartagena,3007776655
Miguel Angel,miguel.angel@art.com,Av El Poblado 45 Medellin,3123334455
Elena Nito,elena.nito@broma.com,Calle Falsa 123 Pereira,3185550000
Juan Perez,juan.perez@mail.com,Calle 123 #45-67 Bogota,3001234567
Maria Rodriguez,maria.rod@gmail.com,Cra 80 #10-20 Medellin,3109876543
Pedro Martinez,pedro.martinez@yahoo.com,Calle 100 #15-20 Bogota,3151112233
Luisa Fernandez,luisa.fer@gmail.com,Tv 4 #5-12 Bucaramanga,3169998877
Ana Torres,ana.torres@outlook.com,Diag 50 #20-10 Barranquilla,3004445566
Carlos Gomez,carlos.g@hotmail.com,Av Siempre Viva 123 Cali,3205551234
Jorge Ramirez,jorge.r@empresa.com,Cra 7 #72-10 Bogota,3112223344
Sofia Vergara,sofia.v@cine.com,Calle 10 #10-10 Cartagena,3007776655
